"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"813599777229275136","","","2016-12-27 04:17:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","If you're a celebrity, #tistheseason ............. to die. #Goodbye2016","","","",""
"813578158016446464","813484778020184064","100541448","2016-12-27 02:52:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",".@kumarhanskumar ha bc. Number of two wheelers in Pune &gt; total population of Pune.","","","",""
"813254602913095680","813254249739976705","91765666","2016-12-26 05:26:21 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",".@stfuperman @IngeniousRetard they say people who don't go on a Twitter rant atleast once before the year ends will be banned for misuse.","","","",""
"813253618123931648","","","2016-12-26 05:22:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","As much as I'd love to leave my comfort zone. But screw you guys I'm going home!","","","",""
"813238320465584128","","","2016-12-26 04:21:39 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Call me a bigot but living in Pune city is shit scary. 70% of the population wander around in scarves!","","","",""
"813237194446041089","","","2016-12-26 04:17:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IngeniousRetard: When in doubt always ask yourself ""what would Pablo Escobar do?""
And then grow a moustache, smoke a joint &amp; wander off…","813095725676408832","405456587","2016-12-25 18:55:02 +0000",""
"813237099562500096","","","2016-12-26 04:16:48 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The only thing that happens after you leave your comfort zone is that you become uncomfortable!","","","",""
"810736796749484032","809950022569574400","2915308411","2016-12-19 06:41:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MayuriJadhav441 dumbness is contagious it seems!","","","",""
"810736580222656512","","","2016-12-19 06:40:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Joshi Wada sounds like Pune's answer to Oshi-wara!","","","",""
"807455144531005440","","","2016-12-10 05:21:22 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","200 followers! Despite the temporary hiatus from Twitter.","","","",""
"800431197683740672","800019821962215424","405456587","2016-11-20 20:10:43 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IngeniousRetard funniest joke ever!😂😂😂","","","",""
"799308714901577728","","","2016-11-17 17:50:22 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","This is a surprise! Welcome to Twitter @vru_03","","","",""
"795661025886355456","","1282946089","2016-11-07 16:15:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@amazonIN have been getting SMSes of purchases I'm not making for the last two days. Whom do I contact?","","","",""
"789103040036876288","789102140602081281","715528527764922369","2016-10-20 13:56:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@HolaniPriya @IngeniousRetard mera whatsapp use karneka ek hi purpose hai Badhe ki marne milti hai. Baki useless app hai wo!","","","",""
"780394068517859328","","","2016-09-26 13:10:19 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",".@vijayanpinarayi @drthomasisaac Only 1% away! Include migrant workers &amp; make Kerala ODF by #WorldToiletDay #TheLastMile #GlobalCitizenIndia","","","",""
"779920739705073664","","","2016-09-25 05:49:29 +0000","<a href=""https://www.zomato.com"" rel=""nofollow"">Zomato</a>","I reviewed China Bistro and rated it 4/5 on @ZomatoIN #LoveFood https://t.co/zQTuQsLZNB","","","","http://www.zoma.to/kkYAKY"
